i,var,beta,ml,mom,gmm,cue,el,time
1,x1,-0.7488270657500321,-0.7291045016569734,-0.7205061789156185,-0.8284241118202988,-0.8657304986770034,-0.7464290408565648,127.232
1,x2,0.29989836373805545,0.32724961289042465,0.3248892135225732,0.37807504469546505,0.6221448800029024,0.32004144250771305,127.232
1,x3,0.9272217971417436,0.8968719657882223,0.916710248512294,1.0602652175446672,1.1984828582186728,0.8347974654815427,127.232
1,x4,-0.5204378213386672,-0.5188420708649455,-0.5348045131151793,-0.5618182450631006,-0.5755530992942132,-0.4783319838775185,127.232
1,x5,-0.2981462627682887,-0.3323360294059323,-0.3203191327007821,-0.5302204533151846,-0.2599133215182854,-0.4088709096130972,127.232
1,x6,0.20347401553825373,0.2052124490254669,0.2182049408651052,0.38458604414109165,0.256576033109881,0.2497345256397031,127.232
1,x7,0.1249166894663758,0.07190090781957166,0.03457456926054461,0.05204635851307558,-0.3452920201465543,0.14450993784464655,127.232
1,x8,0.45715248470374314,0.4567827074858272,0.464550831206875,0.6781040336939468,0.33504526241463584,0.5697687878538302,127.232
1,x9,0.11094216468650164,0.08238122606445296,0.07197892141247728,-0.0023964053479617296,-0.08181320090570168,0.170699171026208,127.232
1,x10,0.11183538270689541,0.12464170175986428,0.11056538278103202,0.2035069979908441,0.1785322124890585,0.14714779435772946,127.232
2,x1,0.09401377885482898,0.009501505989254286,0.03888122525501217,-0.01716673031058484,0.04240587300843779,0.08033610746171835,63.75
2,x2,-0.49050811818467643,-0.49550020973530917,-0.5126281756695349,-0.573377550137985,-0.3598639256602799,-0.5219155304220673,63.75
2,x3,0.6473023818430714,0.6691518821867227,0.7379048392575225,0.7610117675418454,1.0025322587103713,0.7711334343313385,63.75
2,x4,-0.45572419482996507,-0.5423563278722033,-0.5232364788614746,-0.5651319076724569,-0.4344631695000826,-0.561813914950062,63.75
2,x5,-0.10401748158867374,-0.1326180383299697,-0.11774782798618369,-0.15407985352449896,-0.06518419879280749,-0.18576314864055027,63.75
2,x6,-0.131819988465532,-0.24161903414695507,-0.23875369124063167,-0.2529131656093781,-0.3282542458999052,-0.27673917403823606,63.75
2,x7,0.1551950048377182,0.08512433136942003,0.11051470136580668,0.15123967859260504,0.15535775912412783,0.06051856668813991,63.75
2,x8,-0.892335186620643,-1.018501510475907,-1.062234620012166,-1.1719754558807107,-1.4618778502947027,-1.0425807071365036,63.75
2,x9,0.2184678240309721,0.2111121582451923,0.25196865429219656,0.3927043302479227,0.8066970912885548,0.26662007590247827,63.75
2,x10,0.9181351100495327,1.0411249094188821,1.149963504208484,1.2535302317506813,1.3931793337023852,1.1964685203742111,63.75
3,x1,0.5077075216926552,0.5372147191567888,0.5095468615590824,0.5303398037260689,0.38298558183746306,0.5537143205017451,77.12400000000002
3,x2,-0.8998332254507837,-0.9457409930492414,-0.920718082247203,-0.959517075469424,-1.138506546718467,-0.9847686752278236,77.12400000000002
3,x3,0.36931372592627443,0.44570412806652493,0.45625770302886426,0.5205387706872061,0.23197536301024982,0.49295383170218754,77.12400000000002
3,x4,0.5193230966150773,0.5567111595883841,0.52106277119474,0.6043767688324846,0.5288922444912603,0.5365535856558172,77.12400000000002
3,x5,0.5248501070702503,0.508656522372059,0.4776278373964931,0.4331092601721318,0.30495279308140355,0.5039458104223289,77.12400000000002
3,x6,0.43470301954500123,0.4927773241301483,0.4508637865095246,0.3968879333651828,0.48511821141968764,0.457651836813455,77.12400000000002
3,x7,0.07311400892392594,0.02330838292220009,0.03769262797674906,-0.013297229021346488,-0.09113751710536352,0.015454755151960313,77.12400000000002
3,x8,-0.4349025074531606,-0.46188680889288153,-0.44729351080501906,-0.4370969346859751,-0.47212841734060157,-0.4152872222351859,77.12400000000002
3,x9,0.816959542671122,0.9478103766377624,0.9120688981169094,0.9827318581708009,0.9520192236864256,0.9626308810888725,77.12400000000002
3,x10,-0.08535605663295354,-0.17638935365658823,-0.15364421795032734,-0.161366652852944,-0.32024407603016913,-0.16013364653470752,77.12400000000002
